time,AuxSystemUp,CladDamaged,CladFailureDistThreshold,CladTempBranched,DG1_time_ratio,DG1recoveryTime,DG2recoveryTime,DeltaTimeScramToAux,DownStreamSpeed,Head_PumpA,Head_PumpB,InitialMassFlowPrimary,MassFlowRateIn_SC_A,MassFlowRateIn_SC_B,PrimPGrecovery,PrimPGrecoveryThreshold,PrimPGrecoveryTime,ScramStatus,SecPGrecoveryTime,UpstreamSpeed,a_Head_PumpA,a_Head_PumpB,a_MassFlowRateIn_SC_A,a_MassFlowRateIn_SC_B,a_friction2_CL_A,a_friction2_CL_B,a_power_CH1,a_power_CH2,a_power_CH3,auxAbsolute,avg_Fluid_Vel_C_L_A,avg_Fluid_Vel_H_L-A,avg_out_temp_sec_A,avg_temp_clad_CH1,avg_temp_clad_CH2,avg_temp_clad_CH3,avg_temp_fuel_CH1,avg_temp_fuel_CH2,avg_temp_fuel_CH3,crew1DG1,crew1DG1Threshold,crew1DG2CoupledDG1,crew1DG2CoupledDG1Threshold,crewSecPG,crewSecPGThreshold,init_Power_Fraction_CH1,init_Power_Fraction_CH2,init_Power_Fraction_CH3,power_CH1,power_CH2,power_CH3,reactor:power,scram_start_time,sec_inlet_velocity
100,0,0,0,1500,0,15639.2756861,0,200,4.5853023820451,8.9,8.9,0,2.542,2.542,0,0,0,0,81400,4.5853023820451,8.9,8.9,2.542,2.542,0.001,0.001,0.333672612,0.369921461,0.296405926,0.001,3.3353396744442,1.6103959794953,590.30029932623,681.85700340182,676.02959562007,666.62153617446,1200.0715355387,1106.7597294015,953.92758784848,0,0,0,0,0,0,0.333672612,0.369921461,0.296405926,0.333672612,0.369921461,0.296405926,2771999790,101,2.5420000008968
100.09979848866,0,0,0,1500,0,15639.2756861,0,200,4.5884179478395,8.9,8.9,0,2.542,2.542,0,0,0,0,81400,4.5884179478395,8.9,8.9,2.542,2.542,0.001,0.001,0.333672612,0.369921461,0.296405926,0.001,3.3376062020442,1.611463478909,590.31070035403,681.8792487458,676.05156932311,666.64310017566,1200.0940342295,1106.7822046642,953.95003082921,0,0,0,0,0,0,0.333672612,0.369921461,0.296405926,0.333672612,0.369921461,0.296405926,2771999790,101,2.54200000115
100.19962211549,0,0,0,1500,0,15639.2756861,0,0,4.5807421041457,8.9,8.9,0,2.542,2.542,0,0,0,0,81400,4.5807421041457,8.9,8.9,2.542,2.542,0.001,0.001,0.333672612,0.369921461,0.296405926,101,3.3320295094573,1.6088283899688,590.32052172154,685.1074519182,678.73943075975,668.4450249959,1200.4901128307,1107.1153046976,954.17988426455,0,0,0,0,0,0,0.333672612,0.369921461,0.296405926,0.333672612,0.369921461,0.296405926,2771999790,101,2.5419999998661
100.2994708868,0,0,0,1500,0,15639.2756861,0,0,4.6017649203635,8.9,8.9,0,2.542,2.542,0,0,0,0,81400,4.6017649203635,8.9,8.9,2.542,2.542,0.001,0.001,0.333672612,0.369921461,0.296405926,101,3.3458134072887,1.6215319331523,590.33062722234,686.47788366301,679.88218806256,669.21604696865,1200.8948961925,1107.4556253652,954.41459468164,0,0,0,0,0,0,0.333672612,0.369921461,0.296405926,0.333672612,0.369921461,0.296405926,2771999790,101,2.5420000013205
100.39934480894,0,0,0,1500,0,15639.2756861,0,0,4.5949944839666,8.9,8.9,0,2.542,2.542,0,0,0,0,81400,4.5949944839666,8.9,8.9,2.542,2.542,0.001,0.001,0.333672612,0.369921461,0.296405926,101,3.3412705549349,1.6187141906228,590.34060453405,687.33944129383,680.60180686678,669.70574847846,1201.2734723566,1107.7741385084,954.63482977365,0,0,0,0,0,0,0.333672612,0.369921461,0.296405926,0.333672612,0.369921461,0.296405926,2771999790,101,2.5420000005546
100.49924388824,0,0,0,1500,0,15639.2756861,0,0,4.5922351215678,8.9,8.9,0,2.542,2.542,0,0,0,0,81400,4.5922351215678,8.9,8.9,2.542,2.542,0.001,0.001,0.333672612,0.369921461,0.296405926,101,3.3393502406069,1.617909491294,590.35082533306,687.99569095986,681.1507575895,670.0828771647,1201.6255790503,1108.0706303338,954.84049723952,0,0,0,0,0,0,0.333672612,0.369921461,0.296405926,0.333672612,0.369921461,0.296405926,2771999790,101,2.5420000010143
100.59916813103,0,0,0,1500,0,15639.2756861,0,0,4.5883569298699,8.9,8.9,0,2.542,2.542,0,0,0,0,81400,4.5883569298699,8.9,8.9,2.542,2.542,0.001,0.001,0.333672612,0.369921461,0.296405926,101,3.3366045612443,1.6167793847509,590.36104630008,688.51715143251,681.58768709462,670.38628039727,1201.9553915988,1108.3485766155,955.03394632616,0,0,0,0,0,0,0.333672612,0.369921461,0.296405926,0.333672612,0.369921461,0.296405926,2771999790,101,2.5420000007599
100.60916813103,0,0,0,1500,0,15639.2756861,0,0,4.5883884195564,8.9,8.9,0,2.542,2.542,0,0,0,0,81400,4.5883884195564,8.9,8.9,2.542,2.542,0.001,0.001,0.333672612,0.369921461,0.296405926,101,3.3366147428194,1.6168772133431,590.36204447501,688.56878928907,681.6309665155,670.41639665066,1201.9881804335,1108.3762114674,955.05318692774,0,0,0,0,0,0,0.333672612,0.369921461,0.296405926,0.333672612,0.369921461,0.296405926,2771999790,101,2.5419999760689
100.61916813103,0,0,0,1500,0,15639.2756861,0,0,4.5883497323447,8.9,8.9,0,2.542,2.542,0,0,0,0,81400,4.5883497323447,8.9,8.9,2.542,2.542,0.001,0.001,0.333672612,0.369921461,0.296405926,101,3.3365912255166,1.6168645886682,590.36304501725,688.61950390487,681.67348359891,670.44603489844,1202.0207585232,1108.4036710559,955.07231243474,0,0,0,0,0,0,0.333672612,0.369921461,0.296405926,0.333672612,0.369921461,0.296405926,2771999790,101,2.5420000232523
100.62916813103,0,0,0,1500,0,15639.2756861,0,0,4.5883176863447,8.9,8.9,0,2.542,2.542,0,0,0,0,81400,4.5883176863447,8.9,8.9,2.542,2.542,0.001,0.001,0.333672612,0.369921461,0.296405926,101,3.3365777392806,1.6168641006773,590.36404671718,688.66915441116,681.71511916189,670.47510667573,1202.0531318918,1108.4309604148,955.09132632758,0,0,0,0,0,0,0.333672612,0.369921461,0.296405926,0.333672612,0.369921461,0.296405926,2771999790,101,2.5420000020718
