x1,x2,x3,x4,x5,x6,obj,age,batchId,fitness,iteration,accepted,conv_objective
4.0,3.0,5.0,7.0,2.0,6.0,99.0,0.0,1.0,-99.0,0.0,first,0.0
7.0,4.0,5.0,2.0,3.0,6.0,89.0,0.0,1.0,-89.0,0.0,first,0.0
4.0,3.0,6.0,7.0,2.0,5.0,96.0,0.0,1.0,-96.0,0.0,first,0.0
7.0,4.0,3.0,5.0,6.0,2.0,86.0,0.0,1.0,-86.0,0.0,first,0.0
4.0,6.0,7.0,2.0,3.0,5.0,90.0,0.0,1.0,-90.0,0.0,first,0.0
4.0,6.0,2.0,5.0,7.0,3.0,95.0,0.0,1.0,-95.0,0.0,first,0.0
4.0,7.0,2.0,5.0,3.0,6.0,95.0,0.0,1.0,-95.0,0.0,first,0.0
6.0,3.0,5.0,2.0,4.0,7.0,97.0,0.0,1.0,-97.0,0.0,first,0.0
4.0,5.0,3.0,6.0,7.0,2.0,94.0,0.0,1.0,-94.0,0.0,first,0.0
2.0,4.0,6.0,5.0,3.0,7.0,105.0,0.0,1.0,-105.0,0.0,first,0.0
7.0,6.0,3.0,2.0,5.0,4.0,85.0,0.0,1.0,-85.0,0.0,first,0.0
6.0,2.0,7.0,5.0,3.0,4.0,90.0,0.0,1.0,-90.0,0.0,first,0.0
3.0,6.0,4.0,7.0,5.0,2.0,92.0,0.0,1.0,-92.0,0.0,first,0.0
2.0,3.0,6.0,7.0,4.0,5.0,104.0,0.0,1.0,-104.0,0.0,first,0.0
7.0,3.0,5.0,4.0,2.0,6.0,90.0,0.0,1.0,-90.0,0.0,first,0.0
5.0,3.0,2.0,6.0,4.0,7.0,103.0,0.0,1.0,-103.0,0.0,first,0.0
6.0,3.0,4.0,7.0,2.0,5.0,92.0,0.0,1.0,-92.0,0.0,first,0.0
2.0,5.0,4.0,6.0,7.0,3.0,101.0,0.0,1.0,-101.0,0.0,first,0.0
4.0,6.0,2.0,7.0,5.0,3.0,93.0,0.0,1.0,-93.0,0.0,first,0.0
5.0,6.0,3.0,2.0,7.0,4.0,93.0,0.0,1.0,-93.0,0.0,first,0.0
4.0,3.0,5.0,2.0,7.0,6.0,104.0,0.0,2.0,-104.0,1.0,accepted,0.0
4.0,5.0,3.0,7.0,6.0,2.0,93.0,0.0,2.0,-93.0,1.0,accepted,0.0
4.0,5.0,2.0,3.0,7.0,6.0,103.0,0.0,2.0,-103.0,1.0,accepted,0.0
4.0,7.0,3.0,6.0,5.0,2.0,88.0,0.0,2.0,-88.0,1.0,accepted,0.0
4.0,5.0,3.0,6.0,7.0,2.0,94.0,0.0,2.0,-94.0,1.0,accepted,0.0
3.0,6.0,4.0,7.0,5.0,2.0,92.0,0.0,2.0,-92.0,1.0,accepted,0.0
4.0,5.0,6.0,7.0,3.0,2.0,87.0,0.0,2.0,-87.0,1.0,accepted,0.0
2.0,3.0,4.0,7.0,6.0,5.0,108.0,0.0,2.0,-108.0,1.0,accepted,0.0
4.0,7.0,2.0,3.0,5.0,6.0,97.0,0.0,2.0,-97.0,1.0,accepted,0.0
4.0,3.0,5.0,2.0,7.0,6.0,104.0,0.0,2.0,-104.0,1.0,accepted,0.0
4.0,6.0,5.0,7.0,2.0,3.0,87.0,0.0,2.0,-87.0,1.0,accepted,0.0
3.0,6.0,4.0,2.0,7.0,5.0,100.0,0.0,2.0,-100.0,1.0,accepted,0.0
4.0,3.0,6.0,5.0,7.0,2.0,95.0,0.0,2.0,-95.0,1.0,accepted,0.0
2.0,3.0,5.0,4.0,7.0,6.0,110.0,0.0,2.0,-110.0,1.0,accepted,0.0
4.0,7.0,2.0,3.0,5.0,6.0,97.0,0.0,2.0,-97.0,1.0,accepted,0.0
3.0,6.0,4.0,5.0,7.0,2.0,94.0,0.0,2.0,-94.0,1.0,accepted,0.0
4.0,7.0,2.0,6.0,5.0,3.0,91.0,0.0,2.0,-91.0,1.0,accepted,0.0
2.0,3.0,6.0,5.0,7.0,4.0,105.0,0.0,2.0,-105.0,1.0,accepted,0.0
3.0,6.0,4.0,5.0,7.0,2.0,94.0,0.0,2.0,-94.0,1.0,accepted,0.0
2.0,3.0,6.0,4.0,7.0,5.0,107.0,0.0,2.0,-107.0,1.0,accepted,0.0
7.0,6.0,3.0,2.0,4.0,5.0,86.0,1.0,3.0,-86.0,2.0,accepted,0.0
7.0,4.0,3.0,5.0,2.0,6.0,90.0,1.0,3.0,-90.0,2.0,accepted,0.0
7.0,5.0,3.0,6.0,2.0,4.0,84.0,1.0,3.0,-84.0,2.0,accepted,0.0
4.0,2.0,3.0,5.0,6.0,7.0,109.0,1.0,3.0,-109.0,2.0,accepted,0.0
7.0,4.0,3.0,2.0,6.0,5.0,92.0,1.0,3.0,-92.0,2.0,accepted,0.0
4.0,7.0,2.0,6.0,5.0,3.0,91.0,1.0,3.0,-91.0,2.0,accepted,0.0
7.0,4.0,3.0,2.0,6.0,5.0,92.0,1.0,3.0,-92.0,2.0,accepted,0.0
5.0,6.0,3.0,2.0,7.0,4.0,93.0,1.0,3.0,-93.0,2.0,accepted,0.0
