v0,angle,r,t,ProbabilityWeight,ProbabilityWeight-v0,prefix,PointProbability,ProbabilityWeight-angle
37.1019158066,25.7849297162,110.03520129,3.29369817184,0.000363712354178,0.0290969883342,1,0.000363712354178,0.0125
27.6458000946,54.0915667566,74.0943499271,4.56976795803,0.000892710498104,0.0714168398483,2,0.000892710498104,0.0125
31.3346466916,82.7548955189,25.0689475951,6.34376783195,0.000962449739528,0.0769959791622,3,0.000962449739528,0.0125
30.240106485,39.6122197701,91.6672833819,3.9348445482,0.000996206394461,0.0796965115569,4,0.000996206394461,0.0125
28.5257882176,47.7849978122,82.6406634703,4.31163615024,0.000954933280191,0.0763946624153,5,0.000954933280191,0.0125
29.052833908,52.0206201186,83.5558741424,4.67354720189,0.000979620263002,0.0783696210401,6,0.000979620263002,0.0125
19.9469752858,41.3894261877,40.278160526,2.69151222897,0.000132137277585,0.0105709822068,7,0.000132137277585,0.0125
35.6243118744,17.7636472724,75.250749683,2.21809427971,0.000529773629285,0.0423818903428,8,0.000529773629285,0.0125
27.3004281941,44.689153796,76.047908699,3.9182250618,0.000862084870309,0.0689667896248,9,0.000862084870309,0.0125
25.2147257946,25.6808303345,50.6746356596,2.22999849814,0.000630889354385,0.0504711483508,10,0.000630889354385,0.0125
26.7705788897,54.9013559264,68.8044678493,4.46993996617,0.000809587021622,0.0647669617297,11,0.000809587021622,0.0125
19.963670875,5.0,7.06195518313,0.355091543486,0.000133026643584,0.0106421314867,12,0.000133026643584,0.0125
36.9189256147,35.410524494,131.362883235,4.36570733959,0.000382862856758,0.0306290285406,13,0.000382862856758,0.0125
38.8423746116,21.099689438,103.411523706,2.8536600933,0.000208795584031,0.0167036467225,14,0.000208795584031,0.0125
38.8423746116,30.043961348,133.4443499,3.96877375399,0.000208795584031,0.0167036467225,15,0.000208795584031,0.0125
35.6810704095,28.255106966,108.34465639,3.4472150747,0.000523018199633,0.0418414559707,16,0.000523018199633,0.0125
36.9189256147,31.83281573,124.648456149,3.97400196704,0.000382862856758,0.0306290285406,17,0.000382862856758,0.0125
36.2521074404,21.099689438,90.0790732073,2.66335911064,0.00045638216197,0.0365105729576,18,0.00045638216197,0.0125
36.2521074404,30.043961348,116.23988249,3.70410959615,0.00045638216197,0.0365105729576,19,0.00045638216197,0.0125
35.6810704095,26.466252584,103.660260827,3.24530706895,0.000523018199633,0.0418414559707,20,0.000523018199633,0.0125
37.7383265068,21.099689438,97.6163730997,2.77254821357,0.000301109365549,0.0240887492439,21,0.000301109365549,0.0125
36.9189256147,19.310835056,86.8117469997,2.49159700845,0.000382862856758,0.0306290285406,22,0.000382862856758,0.0125
36.9189256147,40.77708764,137.574030909,4.92089972872,0.000382862856758,0.0306290285406,23,0.000382862856758,0.0125
38.8423746116,15.733126292,80.3623939442,2.14946561504,0.000208795584031,0.0167036467225,24,0.000208795584031,0.0125
40.7058592869,24.677398202,128.289424326,3.46837727252,0.000100765800826,0.00806126406607,25,0.000100765800826,0.0125
37.7383265068,38.988233258,142.136507258,4.84560710434,0.000301109365549,0.0240887492439,26,0.000301109365549,0.0125
35.6810704095,24.677398202,98.5718145451,3.04023587355,0.000523018199633,0.0418414559707,27,0.000523018199633,0.0125
38.8423746116,33.621670112,141.967806788,4.38924011671,0.000208795584031,0.0167036467225,28,0.000208795584031,0.0125
35.1758627283,37.199378876,121.607512843,4.34020239356,0.000583658693068,0.0466926954454,29,0.000583658693068,0.0125
34.7186298722,33.621670112,113.423614804,3.92325146328,0.000638932058846,0.0511145647077,30,0.000638932058846,0.0125
38.8423746116,37.199378876,148.279951573,4.79259794032,0.000208795584031,0.0167036467225,31,0.000208795584031,0.0125
35.6810704095,38.988233258,127.062124618,4.58145509541,0.000523018199633,0.0418414559707,32,0.000523018199633,0.0125
38.8423746116,17.521980674,88.4000013269,2.38659960701,0.000208795584031,0.0167036467225,33,0.000208795584031,0.0125
40.7058592869,19.310835056,105.534447765,2.7471708761,0.000100765800826,0.00806126406607,34,0.000100765800826,0.0125
34.7186298722,31.83281573,110.233590067,3.7371592241,0.000638932058846,0.0511145647077,35,0.000638932058846,0.0125
35.6810704095,44.354796404,129.879174452,5.09073801781,0.000523018199633,0.0418414559707,36,0.000523018199633,0.0125
38.8423746116,35.410524494,145.407266035,4.59315749593,0.000208795584031,0.0167036467225,37,0.000208795584031,0.0125
38.8423746116,22.88854382,110.326926247,3.08313134537,0.000208795584031,0.0167036467225,38,0.000208795584031,0.0125
38.8423746116,19.310835056,96.0930399826,2.62140738854,0.000208795584031,0.0167036467225,39,0.000208795584031,0.0125
37.7383265068,44.354796404,145.287765946,5.38425364686,0.000301109365549,0.0240887492439,40,0.000301109365549,0.0125
38.8423746116,40.77708764,152.28246533,5.17727500209,0.000208795584031,0.0167036467225,41,0.000208795584031,0.0125
35.1758627283,42.565942022,125.80385982,4.85597972661,0.000583658693068,0.0466926954454,42,0.000583658693068,0.0125
33.5357459084,28.255106966,95.7078782699,3.23995125454,0.000776718115929,0.0621374492743,43,0.000776718115929,0.0125
38.8423746116,42.565942022,153.396692406,5.36213667606,0.000208795584031,0.0167036467225,44,0.000208795584031,0.0125
33.9054257456,40.77708764,116.031727573,4.51923227926,0.000735139646844,0.0588111717476,45,0.000735139646844,0.0125
33.1844604569,35.410524494,106.131447064,3.92410234492,0.000814269761901,0.0651415809521,46,0.000814269761901,0.0125
36.2521074404,49.72135955,132.286512819,5.64430069465,0.00045638216197,0.0365105729576,47,0.00045638216197,0.0125
33.5357459084,38.988233258,112.242234743,4.30599508947,0.000776718115929,0.0621374492743,48,0.000776718115929,0.0125
36.9189256147,22.88854382,99.6708316272,2.9304566968,0.000382862856758,0.0306290285406,49,0.000382862856758,0.0125
40.7058592869,17.521980674,97.0855467177,2.50109805974,0.000100765800826,0.00806126406607,50,0.000100765800826,0.0125
