time,Functions|power_history|scale_factor,Materials|clad_solid_mechanics|clad_solid_mechanics|youngs_modulus,Materials|fission_gas_release|initial_grain_radius,_dt,ave_temp_interior,avg_clad_temp,clad_inner_vol,fis_gas_boundary,fis_gas_grain,fis_gas_produced,fis_gas_released,flux_from_clad,flux_from_fuel,gas_volume,initial_moles,max_stress,nonlinear_its,pellet_volume,plenumTemp,plenum_pressure,rod_input_power,rod_total_power
-200,1.03646689945,12957926238.7,8.10314680958e-06,0,580,580,8.7824915257576e-06,0,0,0,0,3.6714979868599e-13,-1.0735172153936e-11,1.8928764205147e-06,0,0,0,-6.8896151052429e-06,579.98203674178,0,0,0
0,1.03646689945,12957926238.7,8.10314680958e-06,200,580.00000020474,580.0000000384,8.8200884692513e-06,0,0,0,0,-5.2848306918257e-05,-1.0796429680081e-05,1.8766907266017e-06,0,44591.093071992,3,-6.9433977426496e-06,579.94885886348,0,0,0
400,1.03646689945,12957926238.7,8.10314680958e-06,400,714.93733826151,581.64214874818,8.8202356115579e-06,7.6367357343662e-15,3.8498323243127e-10,3.8499086916701e-10,0,-105.13458800367,102.22829609527,1.812202049481e-06,0,131723.57879127,7,-7.0080335620768e-06,624.77776076698,0,122.92497427477,122.95207234332
800,1.03646689945,12957926238.7,8.10314680958e-06,400,788.37403408315,583.668512332,8.8204166807876e-06,1.0873422807179e-13,1.5398547456209e-09,1.539963479849e-09,0,-235.57558598424,228.81243882306,1.7762898564004e-06,0,191621.91382885,5,-7.0441268243873e-06,653.16152642274,0,245.84994854954,245.90414570253
1200,1.03646689945,12957926238.7,8.10314680958e-06,400,836.24379454604,585.62048503967,8.8205912630719e-06,5.1322258255493e-13,3.464404620597e-09,3.4649178431795e-09,0,-361.19402571585,351.0055013241,1.7518884244075e-06,0,229124.81146961,4,-7.0687028386644e-06,671.50873927203,0,368.77492282431,368.85622160148
1600,1.03646689945,12957926238.7,8.10314680958e-06,400,873.11334732327,587.54232653485,8.8207632480175e-06,1.6330812843574e-12,6.1582208985507e-09,6.159853979835e-09,0,-484.88444107329,471.33071365895,1.7322837251789e-06,0,257810.42169055,4,-7.0884795228386e-06,684.99266084483,0,491.69989709908,491.80830156402
2000,1.03646689945,12957926238.7,8.10314680958e-06,400,903.7467586507,589.46947749965,8.8209357492565e-06,4.2488424206637e-12,9.6205230776144e-09,9.624771920035e-09,0,-608.96317105328,590.95305125489,1.7153483423472e-06,0,281889.36885826,4,-7.1055874069094e-06,695.75417940702,0,614.62487137385,614.76038711397
2400,1.03646689945,12957926238.7,8.10314680958e-06,400,930.21724544052,591.37652671829,8.8211064992601e-06,9.8382649153155e-12,1.3849833438627e-08,1.3859671703542e-08,0,-731.74611506488,710.16561845679,1.7001614678313e-06,0,303348.70441819,4,-7.1209450314288e-06,704.62334381206,0,737.54984564862,737.71247977519
2800,1.03646689945,12957926238.7,8.10314680958e-06,400,953.69319763938,593.27915312762,8.8212768796868e-06,2.126605744372e-11,1.8843287322218e-08,1.8864553379661e-08,0,-854.2613585952,829.03003233616,1.6862350266026e-06,0,323071.98532874,4,-7.1350418530843e-06,712.12034552108,0,860.47481992339,860.66458107153

