v0,angle,r,t,PointProbability,ProbabilityWeight,ProbabilityWeight-v0,ProbabilityWeight-angle,prefix
47.9960360788,34.9632091517,220.783735327,5.61309060819,0.00021186440678,1.0,1.0,1.0,1
11.8226524752,81.0571449427,4.38037050675,2.3834560812,0.00021186440678,1.0,1.0,1.0,2
47.0017688598,63.5595150801,179.750287414,8.58882851706,0.00021186440678,1.0,1.0,1.0,3
36.2141595332,52.8926789127,128.776201221,5.89408982769,0.00021186440678,1.0,1.0,1.0,4
27.3041326993,17.4814910843,43.5934255928,1.673897651,0.00021186440678,1.0,1.0,1.0,5
6.89852031132,17.4795619055,2.78249435717,0.422873069604,0.00021186440678,1.0,1.0,1.0,6
28.0956843889,9.64668888707,26.6133882099,0.960827421958,0.00021186440678,1.0,1.0,1.0,7
20.6888080723,74.2940919076,22.7634097068,4.06456477263,0.00021186440678,1.0,1.0,1.0,8
9.42914204426,53.0892009214,8.71304351266,1.53862714997,0.00021186440678,1.0,1.0,1.0,9
39.4024199313,61.6458062773,132.424292509,7.07658245956,0.00021186440678,1.0,1.0,1.0,10
4.32828301176,6.64675990158,0.439560972174,0.102242717015,0.00021186440678,1.0,1.0,1.0,11
43.5979275237,82.5927877793,49.5927186107,8.82328577453,0.00021186440678,1.0,1.0,1.0,12
56.3746101499,71.595410925,194.302298783,10.9165489423,0.00021186440678,1.0,1.0,1.0,13
1.04594711844,21.9871289509,0.0775108514831,0.0799185351761,0.00021186440678,1.0,1.0,1.0,14
59.5404823021,19.545997366,228.102537604,4.06532096059,0.00021186440678,1.0,1.0,1.0,15
37.4314089428,19.6723607962,90.641074489,2.57162227043,0.00021186440678,1.0,1.0,1.0,16
37.08753659,29.3393792827,119.901083388,3.70861520671,0.00021186440678,1.0,1.0,1.0,17
1.41691220282,46.9805149273,0.204371884683,0.211415366459,0.00021186440678,1.0,1.0,1.0,18
24.5917976875,53.9482318351,58.7239168607,4.05757427638,0.00021186440678,1.0,1.0,1.0,21
3.75327442767,16.1595089946,0.768511255075,0.213180162695,0.00021186440678,1.0,1.0,1.0,22
2.36068327943,39.5556016906,0.558417402991,0.306805349808,0.00021186440678,1.0,1.0,1.0,19
31.9617050507,28.2983312065,87.0210783699,3.09221384689,0.00021186440678,1.0,1.0,1.0,20
58.4515758349,28.3715718108,291.532651195,5.66846323256,0.00021186440678,1.0,1.0,1.0,23
14.7335090804,34.308947611,20.6260072195,1.69481975436,0.00021186440678,1.0,1.0,1.0,24
6.3457796919,41.485599232,4.07819280534,0.857886972062,0.00021186440678,1.0,1.0,1.0,25
37.4847748697,67.8140768182,100.26626383,7.08357737003,0.00021186440678,1.0,1.0,1.0,26
23.5652574151,20.9739026837,37.8782061283,1.72143090323,0.00021186440678,1.0,1.0,1.0,27
59.0106222767,46.1387549064,355.051306976,8.6832319934,0.00021186440678,1.0,1.0,1.0,28
28.5390110173,52.3931658192,80.3574729472,4.61409912296,0.00021186440678,1.0,1.0,1.0,29
51.7364837971,8.71603254315,81.8225458836,1.60000265987,0.00021186440678,1.0,1.0,1.0,30
41.1381447935,53.6035880932,164.959156874,6.75782985748,0.00021186440678,1.0,1.0,1.0,31
27.5794559537,18.6419300022,47.0163580533,1.79915321887,0.00021186440678,1.0,1.0,1.0,32
1.78263252503,10.2041275439,0.113072852723,0.0644496748663,0.00021186440678,1.0,1.0,1.0,33
56.5899035036,80.9108424922,101.946453017,11.4039479067,0.00021186440678,1.0,1.0,1.0,34
34.2340046838,82.2505628311,31.9563663957,6.92272512643,0.00021186440678,1.0,1.0,1.0,35
23.7395738647,69.6717879513,37.4669719366,4.54306643669,0.00021186440678,1.0,1.0,1.0,36
1.9420091817,29.369101679,0.328960351743,0.194372867748,0.00021186440678,1.0,1.0,1.0,37
14.6227354278,12.8137693572,9.43705565958,0.661851385227,0.00021186440678,1.0,1.0,1.0,38
15.2205026763,59.738642344,20.5790849976,2.68295722556,0.00021186440678,1.0,1.0,1.0,39
41.3125479373,40.2121993609,171.729258563,5.44331011926,0.00021186440678,1.0,1.0,1.0,40
36.989802751,14.763058538,68.8060288286,1.92363842687,0.00021186440678,1.0,1.0,1.0,41
50.1584998849,44.614152843,256.698665311,7.18933972246,0.00021186440678,1.0,1.0,1.0,42
11.2285141871,7.75108184729,3.43855888877,0.309058298248,0.00021186440678,1.0,1.0,1.0,43
24.0725759582,77.7456321923,24.5296459755,4.80083277554,0.00021186440678,1.0,1.0,1.0,44
11.7519291243,25.7023984801,11.0144200313,1.04015798128,0.00021186440678,1.0,1.0,1.0,45
45.5663231233,58.0017824408,190.418395809,7.88636423237,0.00021186440678,1.0,1.0,1.0,46
26.0841967706,29.9368858582,60.048986222,2.6565728446,0.00021186440678,1.0,1.0,1.0,47
13.2685581602,46.6054416731,17.9365566352,1.96764573304,0.00021186440678,1.0,1.0,1.0,48
34.4943193091,48.7368221869,120.382650964,5.29162668181,0.00021186440678,1.0,1.0,1.0,49
2.84748421373,19.788356818,0.527122469821,0.196736005493,0.00021186440678,1.0,1.0,1.0,50
50.6948016055,82.566770296,67.2824258248,10.2589342073,0.00021186440678,1.0,1.0,1.0,51
27.5354936131,67.0106260809,55.6337234854,5.1731735587,0.00021186440678,1.0,1.0,1.0,52
24.3138636598,80.1599151257,20.3148907752,4.88901471752,0.00021186440678,1.0,1.0,1.0,53
55.6728728729,76.5861880387,142.736175936,11.0518604082,0.00021186440678,1.0,1.0,1.0,54
43.9090477724,52.8319981247,189.428721398,7.14075321389,0.00021186440678,1.0,1.0,1.0,55
20.2659055174,78.7499389038,16.0379128093,4.05642808359,0.00021186440678,1.0,1.0,1.0,56
34.6561945902,12.0793999562,50.1582580071,1.48008118842,0.00021186440678,1.0,1.0,1.0,57
31.7292216997,20.6786290965,67.878356919,2.28661431481,0.00021186440678,1.0,1.0,1.0,58
57.7091497052,8.61818298782,100.696854044,1.76482966136,0.00021186440678,1.0,1.0,1.0,59
50.8274971875,31.0264260941,232.872965553,5.34656895946,0.00021186440678,1.0,1.0,1.0,60
45.0918865539,36.0941830164,197.53242043,5.42128085871,0.00021186440678,1.0,1.0,1.0,61
32.8418356464,26.7079225419,88.3760851619,3.0123505164,0.00021186440678,1.0,1.0,1.0,62
35.6183189414,71.2990007704,78.6317761719,6.88527318662,0.00021186440678,1.0,1.0,1.0,63
57.950063348,33.5402660325,315.621398617,6.5344359322,0.00021186440678,1.0,1.0,1.0,64
36.8150207542,27.4747609213,113.219277689,3.46630577493,0.00021186440678,1.0,1.0,1.0,65
17.283951846,48.4156870012,30.2667478986,2.63837704367,0.00021186440678,1.0,1.0,1.0,66
18.4801368726,16.273937973,18.7486464309,1.05687561463,0.00021186440678,1.0,1.0,1.0,67
10.7507495391,69.1757586375,7.83763063615,2.0507062424,0.00021186440678,1.0,1.0,1.0,68
1.92254789381,10.9640514865,0.140848552082,0.0746235259836,0.00021186440678,1.0,1.0,1.0,69
25.9806871379,83.9509548058,14.4356853161,5.27265879419,0.00021186440678,1.0,1.0,1.0,70
24.2980094904,66.7795817512,43.6567619854,4.55709115193,0.00021186440678,1.0,1.0,1.0,71
18.3158024061,20.8972545564,22.8139549926,1.33329036829,0.00021186440678,1.0,1.0,1.0,72
1.83070959403,5.44176979001,0.0645721861981,0.0354313566598,0.00021186440678,1.0,1.0,1.0,73
12.7317017805,70.2369143593,10.5268370539,2.44526315417,0.00021186440678,1.0,1.0,1.0,74
42.9691749976,61.548587395,157.833843754,7.7100856275,0.00021186440678,1.0,1.0,1.0,75
47.6203565906,63.3205730231,185.671065822,8.68374371371,0.00021186440678,1.0,1.0,1.0,76
36.751638845,66.7016273881,100.134623005,6.88873930387,0.00021186440678,1.0,1.0,1.0,77
55.6517518111,10.9235716625,117.605664419,2.15223959475,0.00021186440678,1.0,1.0,1.0,78
39.413544806,33.6772580139,146.292428081,4.46027934403,0.00021186440678,1.0,1.0,1.0,79
54.9826208611,14.2695243678,147.377910058,2.76577796533,0.00021186440678,1.0,1.0,1.0,80
51.1522759372,74.0482736912,141.104285724,10.0372623197,0.00021186440678,1.0,1.0,1.0,81
27.517589786,54.8638500203,72.7321140342,4.59255524009,0.00021186440678,1.0,1.0,1.0,82
6.62919684631,31.4718419561,3.99354767869,0.706319915014,0.00021186440678,1.0,1.0,1.0,83
22.8782770503,10.0846680824,18.4154622539,0.817563514226,0.00021186440678,1.0,1.0,1.0,84
40.4616341718,29.8785857542,144.31899959,4.11357500228,0.00021186440678,1.0,1.0,1.0,85
40.2894187838,31.0146657997,146.288099422,4.23661709272,0.00021186440678,1.0,1.0,1.0,86
35.8865693537,63.3684939654,105.312895243,6.54679333676,0.00021186440678,1.0,1.0,1.0,87
17.2085856887,56.0045976869,28.0157320574,2.9117012754,0.00021186440678,1.0,1.0,1.0,88
34.1133619526,75.9770195724,55.8324683971,6.7544360397,0.00021186440678,1.0,1.0,1.0,89
23.5926855906,42.7771937935,56.62654699,3.26999049102,0.00021186440678,1.0,1.0,1.0,90
58.3310135201,14.5675391726,169.038721507,2.99417930084,0.00021186440678,1.0,1.0,1.0,91
51.0859153364,62.0595827273,220.465111799,9.21042903206,0.00021186440678,1.0,1.0,1.0,92
