t,x,y
0.0,0.0,0.796542984386
0.407559421564,1.79932383181,11.3152510045
0.815118843127,3.59864766361,20.3136119037
1.22267826469,5.39797149542,27.7579752568
1.63023768625,7.19729532722,33.4048424049
2.03779710782,8.99661915903,37.531362432
2.44535652938,10.7959429908,40.070234488
2.85291595094,12.5952668226,40.845260764
3.26047537251,14.3945906544,40.099939919
3.66803479407,16.1939144863,37.7333206779
4.07559421564,17.9932383181,33.6365060819
4.4831536372,19.7925621499,28.0193443649
4.89071305876,21.5918859817,20.7472338267
5.29827248033,23.3912098135,11.7785783585
5.70583190189,25.1905336453,1.28957576947
6.11339132345,0.0,0.0
6.52095074502,0.0,0.0
6.92851016658,0.0,0.0
7.33606958814,0.0,0.0
7.74362900971,0.0,0.0
