x1,x2,x3,x4,labels,Output,KMeansLabels,PCADimension1,PCADimension2
5.1,3.5,1.4,0.2,0,1.0,2,-0.046926793147,0.10674089216
4.9,3.0,1.4,0.2,0,2.0,2,0.0520922055012,0.1018091107
4.7,3.2,1.3,0.2,0,3.0,2,0.0229597195642,0.114232418689
4.6,3.1,1.5,0.2,0,4.0,2,0.0449095648106,0.111976929536
5.0,3.6,1.4,0.2,0,5.0,2,-0.0615153055241,0.112160293796
5.4,3.9,1.7,0.4,0,6.0,2,-0.132694735564,0.0943337566971
4.6,3.4,1.4,0.3,0,7.0,2,-0.010588969106,0.116737255714
5.0,3.4,1.5,0.2,0,8.0,2,-0.0249324090834,0.106069907726
4.4,2.9,1.4,0.2,0,9.0,2,0.0890319493892,0.115388474821
4.9,3.1,1.5,0.1,0,10.0,2,0.0343358689022,0.106060547225
5.4,3.7,1.5,0.2,0,11.0,2,-0.0947743829775,0.100162885916
4.8,3.4,1.6,0.2,0,12.0,2,-0.0175265373969,0.110818324926
4.8,3.0,1.4,0.1,0,13.0,2,0.0564193306001,0.108558572227
4.3,3.0,1.1,0.1,0,14.0,2,0.0751789733106,0.129144391178
5.8,4.0,1.2,0.2,0,15.0,2,-0.16448274042,0.0990093782603
5.7,4.4,1.5,0.4,0,16.0,2,-0.235349861829,0.0992680866343
5.4,3.9,1.3,0.4,0,17.0,2,-0.132516580295,0.10067177557
5.1,3.5,1.4,0.3,0,18.0,2,-0.0475287129941,0.103157891594
5.7,3.8,1.7,0.3,0,19.0,2,-0.124954713843,0.0861644337101
5.1,3.8,1.5,0.3,0,20.0,2,-0.102514404698,0.108332208903
5.4,3.4,1.7,0.2,0,21.0,2,-0.039922307725,0.090235054452
5.1,3.7,1.5,0.4,0,22.0,2,-0.0848026069161,0.10249626766
4.6,3.6,1.0,0.2,0,23.0,2,-0.0464363292483,0.131164156506
5.1,3.3,1.7,0.5,0,24.0,2,-0.0122387338817,0.0867324949534
4.8,3.4,1.9,0.2,0,25.0,2,-0.0176601538484,0.106064810772
5.0,3.0,1.6,0.2,0,26.0,2,0.0482779226151,0.0954736403044
5.0,3.4,1.6,0.4,0,27.0,2,-0.0261807875947,0.0973194018737
5.2,3.5,1.5,0.2,0,28.0,2,-0.050696537216,0.101989926483
5.2,3.4,1.4,0.2,0,29.0,2,-0.0323382807699,0.101321490525
4.7,3.2,1.6,0.2,0,30.0,2,0.0228261031127,0.109478904534
4.8,3.1,1.6,0.2,0,31.0,2,0.0374146154898,0.104059502899
5.4,3.4,1.5,0.4,0,32.0,2,-0.0410370697848,0.0862380627545
5.2,4.1,1.5,0.1,0,33.0,2,-0.159976923142,0.119090571105
5.5,4.2,1.4,0.2,0,34.0,2,-0.190023637557,0.109845633054
4.9,3.1,1.5,0.1,0,35.0,2,0.0343358689022,0.106060547225
5.0,3.2,1.2,0.2,0,36.0,2,0.0118286426258,0.106317540529
5.5,3.5,1.3,0.2,0,37.0,2,-0.0617830753372,0.0956595530412
4.9,3.1,1.5,0.1,0,38.0,2,0.0343358689022,0.106060547225
4.4,3.0,1.3,0.2,0,39.0,2,0.0707627705775,0.119225920215
5.1,3.4,1.5,0.2,0,40.0,2,-0.0286576143353,0.102903446766
5.0,3.5,1.3,0.3,0,41.0,2,-0.0437589689251,0.107908857271
4.5,2.3,1.3,0.3,0,42.0,2,0.194631668881,0.0967058739583
4.4,3.2,1.3,0.2,0,43.0,2,0.0341353353196,0.123731801567
5.0,3.5,1.6,0.6,0,44.0,2,-0.0456983449176,0.0924063414156
5.1,3.8,1.9,0.4,0,45.0,2,-0.103294479814,0.0984111894629
4.8,3.0,1.4,0.3,0,46.0,2,0.055215490906,0.101392571093
5.1,3.8,1.6,0.2,0,47.0,2,-0.101957023668,0.110330704751
4.6,3.2,1.4,0.2,0,48.0,2,0.0266403859988,0.11581437493
5.3,3.7,1.5,0.2,0,49.0,2,-0.0910491777257,0.103329346875
5.0,3.3,1.4,0.2,0,50.0,2,-0.00657415263738,0.105401471768
7.0,3.2,4.7,1.4,1,51.0,1,-0.071457359175,-0.0554653505987
6.4,3.2,4.5,1.5,1,52.0,1,-0.0496189698769,-0.0368805759731
6.9,3.1,4.9,1.5,1,53.0,1,-0.0501094337756,-0.0613038403185
5.5,2.3,4.0,1.3,1,54.0,0,0.15015786983,-0.0135703686961
6.5,2.8,4.6,1.5,1,55.0,0,0.0198661565699,-0.0506433043538
5.7,2.8,4.5,1.3,1,56.0,0,0.0509161770957,-0.0165611108269
6.3,3.3,4.7,1.6,1,57.0,1,-0.0648984797353,-0.0382131843413
4.9,2.4,3.3,1.0,1,58.0,0,0.156312914973,0.0295218724641
6.6,2.9,4.6,1.3,1,59.0,0,-0.000968926616817,-0.0443908235035
5.2,2.7,3.9,1.4,1,60.0,0,0.0875212340395,0.00294228103637
5.0,2.0,3.5,1.0,1,61.0,0,0.225753502602,0.0141746393651
5.9,3.0,4.2,1.5,1,62.0,0,0.00576810809153,-0.0208006383733
6.0,2.2,4.0,1.0,1,63.0,0,0.151651320741,-0.0209066124678
6.1,2.9,4.7,1.4,1,64.0,0,0.0170106409781,-0.0337260239918
5.6,2.9,3.6,1.3,1,65.0,0,0.0367285140728,0.00311883327208
6.7,3.1,4.4,1.4,1,66.0,1,-0.0418344093392,-0.0434653942418
5.6,3.0,4.5,1.5,1,67.0,0,0.0168101073956,-0.0160547696498
5.8,2.7,4.1,1.0,1,68.0,0,0.0674886042824,-0.00489349188836
6.2,2.2,4.5,1.5,1,69.0,0,0.140968616916,-0.0530770608123
5.6,2.5,3.9,1.1,1,70.0,0,0.111053607831,-0.00348044245179
5.9,3.2,4.8,1.8,1,71.0,1,-0.0329323196103,-0.0365507870318
6.1,2.8,4.0,1.3,1,72.0,0,0.0362380501741,-0.0213044310733
6.3,2.5,4.9,1.5,1,73.0,0,0.0821241035088,-0.0558227186171
6.1,2.8,4.7,1.2,1,74.0,0,0.0365281983011,-0.0288129635337
6.4,2.9,4.3,1.3,1,75.0,0,0.00661510033826,-0.0333043874302
6.6,3.0,4.4,1.4,1,76.0,1,-0.0197954864585,-0.0425518739582
6.8,2.8,4.8,1.4,1,77.0,1,0.00920338302714,-0.0597286961013
6.7,3.0,5.0,1.7,1,78.0,1,-0.0255936841543,-0.0659743649276
6.0,2.9,4.5,1.5,1,79.0,0,0.0202230040172,-0.030973554163
5.7,2.6,3.5,1.0,1,80.0,0,0.089794760066,0.0055270567044
5.5,2.4,3.8,1.1,1,81.0,0,0.133137069529,-0.000982417450022
5.5,2.4,3.7,1.0,1,82.0,0,0.133783528193,0.00418508783513
5.8,2.7,3.9,1.2,1,83.0,0,0.0663738422226,-0.00889048358586
6.0,2.7,5.1,1.6,1,84.0,0,0.0559812865252,-0.0485694643908
5.4,3.0,4.5,1.5,1,85.0,0,0.0242605178992,-0.00972184773111
6.0,3.4,4.5,1.6,1,86.0,1,-0.0719475039744,-0.023291851351
6.7,3.1,4.7,1.5,1,87.0,1,-0.0425699456377,-0.0518019089633
6.3,2.3,4.4,1.3,1,88.0,0,0.120178072546,-0.0452400752438
5.6,3.0,4.1,1.3,1,89.0,0,0.0181921023582,-0.00255074964313
5.5,2.5,4.0,1.3,1,90.0,0,0.113530434572,-0.00906448734453
5.5,2.6,4.4,1.2,1,91.0,0,0.0956404815213,-0.00956656497458
6.1,3.0,4.6,1.4,1,92.0,0,-0.00125853783365,-0.0298885785979
5.8,2.6,4.0,1.2,1,93.0,0,0.0846430210344,-0.0127279289799
5.0,2.3,3.3,1.0,1,94.0,0,0.17090142735,0.0241024708289
