X1,X2,Y1,Y2,ProbabilityWeight,prefix,PointProbability
-1.0,936.044841291,-932.544841291,3275.45694452,0.05,1,3.71680091769e-09
-1.0,1279.09771243,-1275.59771243,4476.14199351,0.05,2,3.71680091769e-09
-1.0,498.318906989,-494.818906989,1743.41617446,0.05,3,3.71680091769e-09
-1.0,578.342049052,-574.842049052,2023.49717168,0.05,4,3.71680091769e-09
-1.0,1073.82443153,-1070.32443153,3757.68551036,0.05,5,3.71680091769e-09
-1.0,1826.64347389,-1823.14347389,6392.55215863,0.05,6,3.71680091769e-09
-1.0,1044.34419122,-1040.84419122,3654.50466926,0.05,7,3.71680091769e-09
-1.0,1962.04605651,-1958.54605651,6866.46119779,0.05,8,3.71680091769e-09
-1.0,1070.89077427,-1067.39077427,3747.41770994,0.05,9,3.71680091769e-09
-1.0,1205.32042049,-1201.82042049,4217.92147171,0.05,10,3.71680091769e-09
-1.0,1846.89457152,-1843.39457152,6463.43100033,0.05,11,3.71680091769e-09
-1.0,1640.65157474,-1637.15157474,5741.58051159,0.05,12,3.71680091769e-09
-1.0,1997.36973131,-1993.86973131,6990.09405959,0.05,13,3.71680091769e-09
-1.0,347.638160071,-344.138160071,1216.03356025,0.05,14,3.71680091769e-09
-1.0,1113.64124508,-1110.14124508,3897.04435779,0.05,15,3.71680091769e-09
-1.0,282.592608194,-279.092608194,988.374128677,0.05,16,3.71680091769e-09
-1.0,86.2569031506,-82.7569031506,301.199161027,0.05,17,3.71680091769e-09
-1.0,1889.41402964,-1885.91402964,6612.24910373,0.05,18,3.71680091769e-09
-1.0,131.252543566,-127.752543566,458.68390248,0.05,19,3.71680091769e-09
-1.0,18.4446391692,-14.9446391692,63.8562370924,0.05,20,3.71680091769e-09
-1.0,1737.8758252,-1734.3758252,6081.8653882,0.05,21,3.71680091769e-09
-1.0,83.2135891736,-79.7135891736,290.547562107,0.05,22,3.71680091769e-09
-1.0,1197.33352847,-1193.83352847,4189.96734966,0.05,23,3.71680091769e-09
-1.0,425.275610859,-421.775610859,1487.76463801,0.05,24,3.71680091769e-09
-1.0,273.223195754,-269.723195754,955.58118514,0.05,25,3.71680091769e-09
-1.0,1021.93236095,-1018.43236095,3576.06326334,0.05,26,3.71680091769e-09
-1.0,1778.54355047,-1775.04355047,6224.20242664,0.05,27,3.71680091769e-09
-1.0,150.833647268,-147.333647268,527.217765437,0.05,28,3.71680091769e-09
-1.0,1467.89396402,-1464.39396402,5136.92887408,0.05,29,3.71680091769e-09
-1.0,1209.03164502,-1205.53164502,4230.91075759,0.05,30,3.71680091769e-09
-1.0,411.360996871,-407.860996871,1439.06348905,0.05,31,3.71680091769e-09
-1.0,743.930774448,-740.430774448,2603.05771057,0.05,32,3.71680091769e-09
-1.0,426.671415201,-423.171415201,1492.6499532,0.05,33,3.71680091769e-09
-1.0,673.799919121,-670.299919121,2357.59971692,0.05,34,3.71680091769e-09
-1.0,1048.56024986,-1045.06024986,3669.26087452,0.05,37,3.71680091769e-09
-1.0,1740.14328833,-1736.64328833,6089.80150916,0.05,38,3.71680091769e-09
-1.0,1876.96149384,-1873.46149384,6568.66522843,0.05,35,3.71680091769e-09
-1.0,113.292341147,-109.792341147,395.823194014,0.05,36,3.71680091769e-09
-1.0,299.336688197,-295.836688197,1046.97840869,0.05,39,3.71680091769e-09
-1.0,233.863712809,-230.363712809,817.82299483,0.05,40,3.71680091769e-09
-1.0,496.101250988,-492.601250988,1735.65437846,0.05,41,3.71680091769e-09
-1.0,1443.05451574,-1439.55451574,5049.99080509,0.05,42,3.71680091769e-09
-1.0,506.332860912,-502.832860912,1771.46501319,0.05,43,3.71680091769e-09
-1.0,553.694990592,-550.194990592,1937.23246707,0.05,45,3.71680091769e-09
-1.0,1928.02381747,-1924.52381747,6747.38336113,0.05,46,3.71680091769e-09
-1.0,962.88836537,-959.38836537,3369.40927879,0.05,47,3.71680091769e-09
-1.0,250.530914927,-247.030914927,876.158202246,0.05,44,3.71680091769e-09
-1.0,1640.96076173,-1637.46076173,5742.66266605,0.05,48,3.71680091769e-09
-1.0,857.299073799,-853.799073799,2999.8467583,0.05,49,3.71680091769e-09
-1.0,1114.09456961,-1110.59456961,3898.63099363,0.05,50,3.71680091769e-09
-1.0,1097.99158506,-1094.49158506,3842.2705477,0.05,51,3.71680091769e-09
